"","category","longitude","latitude"
"317","food",18.27457,49.81801
"318","food",10.869512517,48.347226623
"319","food",15.17294,50.36808
"320","food",8.485284802,49.919205021
"321","food",-81.016457474,33.999491615
"322","food",14.55,52.35
"323","food",6.9667,50.95
"324","food",15.6,48.4167
"325","food",9.678886951,50.552064962
"326","food",6.78,51.480278
"327","food",-74.164639066,41.681526932
"328","food",7.52472,51.5128
"329","food",8.453727268,49.593410716
"330","food",-74.009196,40.743396
"331","food",-117.919306755,33.806965935
"332","food",9.18776,45.48066
"333","food",-88.315603644,41.757294404
"334","food",12.129323747,49.0311787
"335","food",-71.801667,42.262222
"336","food",106.701911688,10.762210721
"337","food",-87.562222222,37.992777778
"338","food",-76.309917606,40.157514552
"339","food",-87.633723459,41.920985235
"340","food",12.58791,55.70749
"341","food",1.339519478,52.226441489
"342","food",-116.784281376,47.671995474
"343","food",-119.02,35.393
"344","food",-122.57381916,49.168938017
"345","food",-76.5074499,39.9885337
"346","food",-5.316324356,50.084452732
"347","food",-70.904251363,41.607104529
"348","food",-1.590700237,53.572044131
"349","food",-71.0713309,42.3442775
"350","food",-118.3163817,34.0832125
"351","food",150.775765584,-34.055350662
"352","food",-74.347338157,40.500237383
"353","food",-82.6282864,27.7668524
"354","food",-2.601241998,53.361000373
"355","food",-117.148878,32.7358
"356","food",-71.370180588,41.873111548
"357","food",-1.824822104,50.744904858
"358","food",-85.317014473,35.036962101
"359","food",-1.088602165,50.785324576
"360","food",-72.616848797,42.09158784
"361","food",-83.004069328,39.956530315
"362","food",-117.919306755,33.806965935
"363","food",-122.65974,45.51438
"364","food",11.3275,50.716944444
"365","food",13.083333333,54.3
"366","food",13.7614388,45.6470204
"367","food",12.5,50.7333
"368","food",17.11180687,48.144871092
"369","food",9.747804394,47.505946818
"370","food",1.44315542,43.60429362
"371","food",10.794522729,45.162536382
"372","food",13.3833,54.1
"373","food",10.99789381,50.964130061
"374","food",12.9167,50.8333
"375","food",8.505910199,47.392512402
"376","food",9.1897,45.4643
"377","food",9.2255,45.52846
"378","food",12.166666667,47.583333333
"379","food",8.111972693,49.744805873
"380","food",12.1333,54.0833
"381","food",-94.822876668,39.042359341
"382","food",-96.988827977,32.77255873
"383","food",4.8721299,52.3985596
"384","food",-83.040591026,42.347425925
"385","food",-82.420989257,28.034480891
"386","food",23.715201113,37.977658604
"387","food",4.4777326,51.9244201
"388","food",-1.614990234,54.96728665
"389","food",-2.227709479,53.483633246
"390","food",-120.139721527,39.171958436
"391","food",-76.73499936,38.94404283
"392","food",-82.420989257,28.034480891
"393","food",-89.63732,42.81632
"394","food",14.44318,50.10818
"395","food",9.268426703,45.467319129
"396","food",34.7667,32.0667
"397","food",-80.86263,35.20845
"398","food",-75.6181367,41.065523
"399","food",-81.68598,41.49842
"400","food",-47.037920952,-22.832990729
"401","food",10.071944444,45.711666667
"402","food",8.719937,50.113098
"403","food",9.200193922,48.807929205
"404","food",19.956451277,50.067970987
"405","food",-46.613209248,-23.549097301
"406","food",3.72791,51.05747
"407","food",16.608914137,49.188701902
"408","food",12.47048,41.89965
"409","music",-80.186367693,25.774885474
"410","music",-84.418772661,39.051923306
"411","music",28.319304578,-15.396657459
"412","music",-50.791168213,-29.852257523
"413","music",-73.97975636,40.759878114
"414","music",-73.97975636,40.759878114
"415","music",-80.2241,25.7877
"416","music",-116.23722,33.67997
"417","music",-38.360163144,-12.925947529
"418","music",-48.489236217,-27.475900804
"419","music",-122.021779,36.976031
"420","music",-78.576422222,35.749488889
"421","music",-76.61869,39.28849
"422","music",-2.241071369,53.474967672
"423","music",-84.418772661,39.051923306
"424","music",-95.378599456,29.761315724
"425","music",-85.930995776,40.004845781
"426","music",120.9831506,14.5350963
"427","music",-87.68939,30.24785
"428","music",-80.71121,35.32799
"429","music",-74.211548906,42.20398564
"430","music",-78.87997,33.69136
"431","music",-105.2202,40.44782
"432","music",-90.0711,29.9502
"433","music",28.2012408,-26.3538163
"434","music",-75.523881912,39.194247552
"435","music",-63.389891736,46.482106298
"436","music",-119.982651,47.100195
"437","music",-118.79995,45.66993
"438","music",-2.978398326,53.408889197
"439","music",-80.71121,35.32799
"440","music",-116.2337,33.71243
"441","music",-89.50352,40.89682
"442","music",-97.539543995,35.486414534
"443","music",-90.0715323,29.9510658
"444","music",-90.059,29.9728
"445","music",29.34382,-29.79602
"446","music",-84.418772661,39.051923306
"447","music",-43.80694,-20.9530299
"448","music",77.58464719,13.004959644
"449","music",-90.0715323,29.9510658
"450","music",96.207854748,16.809984458
"451","music",11.66905,52.13417
"452","music",-75.17196078,39.901249118
"453","music",-90.063474476,29.947387736
"454","music",144.974,-37.8233
"455","music",-70.661766529,-33.462702036
"456","music",-48.489365083,-27.476113965
"457","music",-82.503388368,27.976356128
"458","music",-117.212196,32.755274
"459","music",12.568363598,55.673012108
"460","music",-75.165111,39.948011
"461","music",-47.349443436,-23.342965086
"462","music",-80.356874654,26.126504618
"463","music",28.319304578,-15.396657459
"464","music",-97.754,30.2616
"465","music",-58.81328,-34.45776
"466","music",32.586667,0.319167
"467","music",-88.211718784,30.710589856
"468","music",-83.372643685,42.745520169
"469","music",-63.3833,46.4833
