"","word","freq"
"ore","ore",6
"past","past",6
"peace","peace",6
"performers","performers",6
"petit","petit",6
"philadelphia","philadelphia",6
"philippines","philippines",6
"piatti","piatti",6
"pittsburgh","pittsburgh",6
"plein","plein",6
"pompidou","pompidou",6
"practice","practice",6
"presenting","presenting",6
"prices","prices",6
"prima","prima",6
"process","process",6
"professora","professora",6
"programs","programs",6
"projeto","projeto",6
"put","put",6
"quando","quando",6
"renowned","renowned",6
"scena","scena",6
"schedule","schedule",6
"schwartsmann","schwartsmann",6
"seats","seats",6
"segall","segall",6
"series","series",6
"ses","ses",6
"seus","seus",6
"several","several",6
"shabby","shabby",6
"shine","shine",6
"sie","sie",6
"signs","signs",6
"speed","speed",6
"spirit","spirit",6
"starting","starting",6
"streetfood","streetfood",6
"supported","supported",6
"sure","sure",6
"taking","taking",6
"talent","talent",6
"talk","talk",6
"tarifs","tarifs",6
"theatre","theatre",6
"threeday","threeday",6
"tim","tim",6
"today","today",6
"tomato","tomato",6
"tortas","tortas",6
"tours","tours",6
"tra","tra",6
"traditional","traditional",6
"tuesday","tuesday",6
"twitter","twitter",6
"uno","uno",6
"valley","valley",6
"vendredi","vendredi",6
"vibrant","vibrant",6
"villain","villain",6
"visite","visite",6
"wall","wall",6
"washington","washington",6
"web","web",6
"welt","welt",6
"whatsapp","whatsapp",6
"whitney","whitney",6
"aaron","aaron",5
"aberta","aberta",5
"accompanied","accompanied",5
"adults","adults",5
"adventure","adventure",5
"afin","afin",5
"age","age",5
"aire","aire",5
"alex","alex",5
"alle","alle",5
"alto","alto",5
"amaral","amaral",5
"amazing","amazing",5
"aos","aos",5
"app","app",5
"applications","applications",5
"artaud","artaud",5
"artesanales","artesanales",5
"artificielle","artificielle",5
"associados","associados",5
"aura","aura",5
"azul","azul",5
"banheiros","banheiros",5
"berlin","berlin",5
"bienais","bienais",5
"bike","bike",5
"boasts","boasts",5
"bottles","bottles",5
"brasileira","brasileira",5
"breve","breve",5
"brewing","brewing",5
"brings","brings",5
"cada","cada",5
"care","care",5
"casa","casa",5
"celebrating","celebrating",5
"ceramics","ceramics",5
"cervejas","cervejas",5
"chalk","chalk",5
"champagne","champagne",5
"check","check",5
"close","close",5
"comme","comme",5
"companies","companies",5
"complet","complet",5
"compre","compre",5
"conta","conta",5
"costo","costo",5
"county","county",5
"coxinhas","coxinhas",5
"creators","creators",5
"criar","criar",5
"crowd","crowd",5
"curatorial","curatorial",5
"dar","dar",5
"designer","designer",5
"diversas","diversas",5
"dla","dla",5
"domingo","domingo",5
"door","door",5
"doors","doors",5
"dove","dove",5
"durante","durante",5
"eclectic","eclectic",5
"educational","educational",5
"eine","eine",5
"energy","energy",5
"enter","enter",5
"estacionamento","estacionamento",5
"exhibited","exhibited",5
"experiences","experiences",5
"fabulous","fabulous",5
"faire","faire",5
"fields","fields",5
"finest","finest",5
"flea","flea",5
"fontes","fontes",5
"fora","fora",5
"forma","forma",5
"four","four",5
"fourth","fourth",5
"friendly","friendly",5
"galeries","galeries",5
"georgia","georgia",5
"geraldo","geraldo",5
"gifts","gifts",5
"guimard","guimard",5
"half","half",5
"hand","hand",5
"head","head",5
"highlights","highlights",5
"horas","horas",5
